,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,price,district,street,house_number,underground,residential_complex
0,ID 413522,realtor,https://www.cian.ru/sale/flat/301734984/,Москва,sale,flat,7,12,2,78.0,-1,0,102999000,Хамовники, Ефремова,10,Фрунзенская,Садовые кварталы
1,Century 21 Street Realty,real_estate_agent,https://www.cian.ru/sale/flat/300822469/,Москва,sale,flat,3,21,2,51.0,-1,0,52000000,Пресненский, Костикова,4к1,Улица 1905 года,Lucky
2,ФЛИП,real_estate_agent,https://www.cian.ru/sale/flat/301037762/,Москва,sale,flat,8,9,2,44.0,-1,0,10000000,Головинский, Лавочкина,16К1,Речной вокзал,
3,SHOW ME,real_estate_agent,https://www.cian.ru/sale/flat/276019027/,Москва,sale,flat,6,6,2,130.0,-1,0,58000000,Беговой, 3-я Ямского Поля,9,Белорусская,Art Residence
4,ID 413522,realtor,https://www.cian.ru/sale/flat/301734996/,Москва,sale,flat,7,14,2,95.0,-1,0,166990000,Хамовники, Усачева,15А,Спортивная,Садовые кварталы
5,Барно Турсунова,realtor,https://www.cian.ru/sale/flat/299059276/,Москва,sale,flat,5,17,2,51.1,-1,0,14980000,Останкинский,Березовая аллея,19к6,Ботанический сад,Апарт-комплекс Легендарный квартал
6,ID 413522,realtor,https://www.cian.ru/sale/flat/301735020/,Москва,sale,flat,10,21,2,54.0,-1,0,61800000,Пресненский,2-я Звенигородская ,14,Улица 1905 года,Lucky
7,NF Group - ex-Knight Frank,real_estate_agent,https://www.cian.ru/sale/flat/298050405/,Москва,sale,flat,7,9,2,108.3,-1,0,194940000,Тверской,1-я Тверская-Ямская ,2,Маяковская,Vesper Tverskaya
8,Маленков недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/300102336/,Москва,sale,flat,8,9,2,40.0,-1,0,14400000,Хорошево-Мневники,Карамышевская набережная,32/2,Народное Ополчение,
9,ID 25751693,realtor,https://www.cian.ru/sale/flat/299894208/,Москва,sale,flat,12,12,2,77.4,-1,0,34868700,Таганский, Рогожский Вал,10,Площадь Ильича,Рогожский вал 12
