,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,price,district,street,house_number,underground,residential_complex
10,SHOW ME,real_estate_agent,https://www.cian.ru/sale/flat/295277285/,Москва,sale,flat,6,6,2,122.3,-1,0,68000000,Беговой, 3-я Ямского Поля,9,Белорусская,Art Residence
11,Homeapp,real_estate_agent,https://www.cian.ru/sale/flat/301405653/,Москва,sale,flat,2,5,2,55.1,-1,0,14700000,Фили-Давыдково, Алексея Свиридова,13К2,Кунцевская,
12,ID 111240424,homeowner,https://www.cian.ru/sale/flat/300143306/,Москва,sale,flat,38,52,2,63.0,-1,0,36000000,Пресненский,Шмитовский проезд,39к1,Шелепиха,Headliner
13,Premium Moscow,real_estate_agent,https://www.cian.ru/sale/flat/301734726/,Москва,sale,flat,3,6,2,127.4,-1,0,189000000,Хамовники,переулок Хилков,5,Парк Культуры,Особняк в Хилковом переулке
14,ID 13220074,homeowner,https://www.cian.ru/sale/flat/301434800/,Москва,sale,flat,4,9,2,37.1,-1,0,13490000,Кузьминки,Зеленодольская ,15К2,Кузьминки,
15,BARNES International Realty,real_estate_agent,https://www.cian.ru/sale/flat/300652339/,Москва,sale,flat,8,9,2,55.7,-1,0,40000000,Тверской,1-я Тверская-Ямская ,28,Белорусская,
16,Premium Moscow,real_estate_agent,https://www.cian.ru/sale/flat/301734696/,Москва,sale,flat,5,14,2,129.5,-1,0,147800000,Хамовники, Усачева,11Е,Спортивная,Садовые кварталы
17,ОГРК,real_estate_agent,https://www.cian.ru/sale/flat/301119738/,Москва,sale,flat,12,17,2,53.0,-1,0,9200000,Крюково,Зеленоград,к1546,Зеленоград — Крюково,
18,Life Style,real_estate_agent,https://www.cian.ru/sale/flat/294212104/,Москва,sale,flat,34,78,2,76.1,-1,0,62000000,Пресненский,1-й Красногвардейский проезд,22с2,Москва-Сити,NEVA TOWERS
19,Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/301478855/,Москва,sale,flat,3,5,2,69.3,-1,0,52000000,Хорошевский,Ленинградский проспект,37/5,Аэропорт,Прайм Парк
20,ID 13184731,realtor,https://www.cian.ru/sale/flat/301310331/,Москва,sale,flat,6,14,2,43.0,-1,0,13700000,Люблино,Высотный проезд,4,Люблино,
21,Времена года,real_estate_agent,https://www.cian.ru/sale/flat/301680518/,Москва,sale,flat,8,11,2,142.0,-1,0,229559749,Хамовники, Усачева,2С3,Фрунзенская,Фьюжн парк
22,Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/301565559/,Москва,sale,flat,5,21,2,117.0,-1,0,120000000,Пресненский,2-я Звенигородская ,16,Улица 1905 года,Lucky
23,Маленков недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/300099334/,Москва,sale,flat,8,14,2,40.8,-1,0,14900000,Очаково-Матвеевское,Озерная ,29К1,Озёрная,
24,SHOW ME,real_estate_agent,https://www.cian.ru/sale/flat/272186797/,Москва,sale,flat,11,24,2,46.5,-1,0,21900000,Головинский,Головинское шоссе,11,Водный стадион,Талисман на Водном
25,ID 86900871,realtor,https://www.cian.ru/sale/flat/297947020/,Москва,sale,flat,2,3,2,46.3,-1,0,56000000,Басманный, Маросейка,11/4С1,Китай-город,
26,BERI,real_estate_agent,https://www.cian.ru/sale/flat/297563187/,Москва,sale,flat,10,14,2,46.3,-1,0,15490000,Свиблово, Амундсена,16К2,Свиблово,
27,Времена года,real_estate_agent,https://www.cian.ru/sale/flat/301680524/,Москва,sale,flat,5,14,2,100.1,-1,0,125000000,Хамовники, Усачева,15А,Спортивная,Садовые кварталы
28,NF Group - ex-Knight Frank,real_estate_agent,https://www.cian.ru/sale/flat/298050415/,Москва,sale,flat,11,13,2,83.0,-1,0,100000000,Хамовники, Усачева,15А,Спортивная,Садовые кварталы
29,RND,real_estate_agent,https://www.cian.ru/sale/flat/298253114/,Москва,sale,flat,4,21,2,65.1,-1,0,68500000,Пресненский, Костикова,4к1,Улица 1905 года,Lucky
30,RND,real_estate_agent,https://www.cian.ru/sale/flat/301423340/,Москва,sale,flat,7,19,2,83.0,-1,0,72900000,Пресненский, Пресненский Вал,21,Белорусская,Пресненский вал 21
31,ID 413522,realtor,https://www.cian.ru/sale/flat/301734978/,Москва,sale,flat,8,14,2,100.0,-1,0,111999000,Хамовники, Усачева,15А,Спортивная,Садовые кварталы
32,ID 19537716,homeowner,https://www.cian.ru/sale/flat/301853469/,Москва,sale,flat,7,29,2,41.5,-1,0,19990000,Фили-Давыдково, Ивана Франко,6,Кунцевская,MainStreet
33,BARNES International Realty,real_estate_agent,https://www.cian.ru/sale/flat/289779311/,Москва,sale,flat,3,25,2,43.2,-1,0,18500000,Филевский парк,Береговой проезд,5к2,Фили,Фили Град
34,ID 104053634,homeowner,https://www.cian.ru/sale/flat/299900027/,Москва,sale,flat,21,26,2,87.0,-1,0,37000000,Хорошевский,проезд Березовой Рощи,12,ЦСКА,Гранд-парк
35,ID 413522,realtor,https://www.cian.ru/sale/flat/301734946/,Москва,sale,flat,1,7,2,62.0,-1,0,82400000,Якиманка, Большая Полянка,44/2,Полянка,Полянка/44
36,Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/295467334/,Москва,sale,flat,5,10,2,106.2,-1,0,70000000,Хамовники, Пречистенка,40/2С4,Парк Культуры,
37,BARNES International Realty,real_estate_agent,https://www.cian.ru/sale/flat/298615837/,Москва,sale,flat,25,33,2,68.2,-1,0,36000000,Хорошево-Мневники,Причальный проезд,10,Шелепиха,Level Причальный
38,Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/299509241/,Москва,sale,flat,24,24,2,57.4,-1,0,39300000,Хорошево-Мневники,Шелепихинская набережная,34к3зд7,Шелепиха,Сердце Столицы
39,One Click Property,real_estate_agent,https://www.cian.ru/sale/flat/293612862/,Москва,sale,flat,9,9,2,131.6,-1,0,57000000,Басманный,Нижняя Красносельская ,35С49,Бауманская,Лофтек
40,BARNES International Realty,real_estate_agent,https://www.cian.ru/sale/flat/300942839/,Москва,sale,flat,2,7,2,82.6,-1,0,40000000,Беговой,Ленинградский проспект,15С28,Белорусская,Bolshevik
41,ID 85604823,unknown,https://www.cian.ru/sale/flat/299429352/,Москва,sale,flat,38,51,2,63.0,-1,0,36000000,Пресненский,Шмитовский проезд,39к8,Шелепиха,Headliner
42,Century 21 Street Realty,real_estate_agent,https://www.cian.ru/sale/flat/295800676/,Москва,sale,flat,4,17,2,44.5,-1,0,40000000,Пресненский,Звенигородское шоссе,11,Улица 1905 года,Дизайнерский дом Eleven
43,NF Group - ex-Knight Frank,real_estate_agent,https://www.cian.ru/sale/flat/289514736/,Москва,sale,flat,2,5,2,64.0,-1,0,166400000,Хамовники,Пречистенская набережная,43,Кропоткинская,Carré Blanc
44,ELSTATE,real_estate_agent,https://www.cian.ru/sale/flat/298708075/,Москва,sale,flat,3,5,2,70.0,-1,0,89999999,Арбат,Поварская ,8/1к1,Арбатская,De Luxe квартал апартаментов 
45,ID 88506405,homeowner,https://www.cian.ru/sale/flat/296171171/,Москва,sale,flat,2,21,2,46.0,-1,0,23500000,Хорошевский, Зорге,9Ак1,Зорге,
46,Voller.one,real_estate_agent,https://www.cian.ru/sale/flat/300844069/,Москва,sale,flat,6,12,2,52.2,-1,0,14500000,Алтуфьевский,Алтуфьевское шоссе,56,Бибирево,
47,NF Group - ex-Knight Frank,real_estate_agent,https://www.cian.ru/sale/flat/301258691/,Москва,sale,flat,2,21,2,57.23,-1,0,63000000,Пресненский,2-я Звенигородская ,16,Улица 1905 года,Lucky
48,САДОВЫЕ КВАРТАЛЫ,real_estate_agent,https://www.cian.ru/sale/flat/301734845/,Москва,sale,flat,7,15,2,120.0,-1,0,140000000,Хамовники, Усачева,15,Спортивная,Садовые кварталы
49,NF Group - ex-Knight Frank,real_estate_agent,https://www.cian.ru/sale/flat/298977332/,Москва,sale,flat,4,21,2,55.7,-1,0,49100000,Пресненский,2-я Черногрязская ,6к4,Улица 1905 года,RedSide
50,Century 21 Premium Property,real_estate_agent,https://www.cian.ru/sale/flat/292008027/,Москва,sale,flat,2,24,2,68.0,-1,0,38300000,Хорошево-Мневники,Шелепихинская набережная,34к4зд8,Шелепиха,Сердце Столицы
51,ID 57545487,unknown,https://www.cian.ru/sale/flat/301314063/,Москва,sale,flat,10,16,2,38.8,-1,0,14400000,, Лобановский Лес,13,Прокшино,Прокшино
52,Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/297131630/,Москва,sale,flat,3,13,2,69.23,-1,0,52000000,Раменки,проспект Генерала Дорохова,39к1,Минская,Собрание клубных домов West Garden
53,NF Group - ex-Knight Frank,real_estate_agent,https://www.cian.ru/sale/flat/301655618/,Москва,sale,flat,1,11,2,74.13,-1,0,100000000,Дорогомилово,,3к2,Парк Победы,Виктори Парк Резиденсез ЖК
54,Whitewill Москва-Сити,real_estate_agent,https://www.cian.ru/sale/flat/294226335/,Москва,sale,flat,25,73,2,105.0,-1,0,70000000,Пресненский,набережная Пресненская,8с1,Деловой центр,Город Столиц
55,Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/300701528/,Москва,sale,flat,11,41,2,67.1,-1,0,33000000,Хорошево-Мневники,Шелепихинская набережная,34к6,Шелепиха,Сердце Столицы
56,ЕГСН Продажа,real_estate_agent,https://www.cian.ru/sale/flat/296564566/,Москва,sale,flat,4,5,2,44.3,-1,0,5600000,,,5,Подольск,
57,Адресъ-недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/301209198/,Москва,sale,flat,5,5,2,58.4,-1,0,14500000,Измайлово,Верхняя Первомайская ,6к3,Первомайская,
58,Алия Хайрова,realtor,https://www.cian.ru/sale/flat/301459327/,Москва,sale,flat,2,9,2,37.1,-1,0,14000000,Нагатино-Садовники,Варшавское шоссе,57,Нагатинская,
59,Анна Озерецковская,realtor,https://www.cian.ru/sale/flat/301601005/,Москва,sale,flat,8,9,2,38.0,-1,0,14600000,Останкинский,Калибровская ,11,Алексеевская,
60,Анна Озерецковская,realtor,https://www.cian.ru/sale/flat/301591821/,Москва,sale,flat,9,12,2,38.0,-1,0,15100000,Черемушки,Севастопольский проспект,50/11,Зюзино,
61,ОГРК,real_estate_agent,https://www.cian.ru/sale/flat/300776288/,Москва,sale,flat,3,14,2,60.0,-1,0,13600000,Старое Крюково,Солнечная аллея,к936,Зеленоград — Крюково,
62,ОГРК,real_estate_agent,https://www.cian.ru/sale/flat/299929535/,Москва,sale,flat,16,22,2,56.0,-1,0,18250000,Черемушки,Перекопская ,34к2,Новые Черёмушки,
63,ЕГСН Продажа,real_estate_agent,https://www.cian.ru/sale/flat/300183001/,Москва,sale,flat,3,5,2,53.0,-1,0,6700000,,,43,Подольск,
64,ЕГСН Продажа,real_estate_agent,https://www.cian.ru/sale/flat/297674017/,Москва,sale,flat,9,16,2,39.4,-1,0,15100000,Гагаринский, Вавилова,8,Ленинский проспект,
65,Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/300983679/,Москва,sale,flat,13,21,2,90.0,-1,0,56700000,Раменки,Мосфильмовская ,88к4,Раменки,Мосфильмовский
66,Анна Озерецковская,realtor,https://www.cian.ru/sale/flat/301233705/,Москва,sale,flat,6,12,2,46.7,-1,0,16990000,Тимирязевский,проезд Соломенной Сторожки,12А,Гражданская,
67,NIKA ESTATE,real_estate_agent,https://www.cian.ru/sale/flat/299655879/,Москва,sale,flat,14,24,2,46.0,-1,0,31000000,Очаково-Матвеевское,Нежинская ,5к2,Матвеевская,Городские резиденции SPIRES
68,Whitewill Москва-Сити,real_estate_agent,https://www.cian.ru/sale/flat/300577056/,Москва,sale,flat,35,78,2,83.0,-1,0,63000000,Пресненский,1-й Красногвардейский проезд,22,Деловой центр,NEVA TOWERS
69,PROНЕДВИЖИМОСТЬ,real_estate_agent,https://www.cian.ru/sale/flat/301679038/,Москва,sale,flat,3,16,2,54.6,-1,0,12300000,Гольяново,Красноярская ,1,Щёлковская,
70,Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/300610100/,Москва,sale,flat,3,24,2,70.0,-1,0,46500000,Хорошево-Мневники,Шелепихинская набережная,34к3зд7,Шелепиха,Сердце Столицы
71,Метриум-Премиум Городская недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/293947936/,Москва,sale,flat,3,9,2,65.6,-1,0,82000000,Раменки,Мосфильмовская ,1А,Ломоносовский проспект,Вишневый сад
72,МРИЭЛТОР - офис Отрадное,real_estate_agent,https://www.cian.ru/sale/flat/298839275/,Москва,sale,flat,8,9,2,44.4,-1,0,12000000,Строгино, Исаковского,18,Строгино,
73,Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/300670564/,Москва,sale,flat,4,37,2,74.7,-1,0,46500000,Хорошевский,Ленинградский проспект,37/5,Аэропорт,Прайм Парк
74,Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/282550588/,Москва,sale,flat,6,8,2,59.0,-1,0,68000000,Раменки,Мосфильмовская ,1А,Фрунзенская,Вишневый сад
75,do A.S.A.P.,real_estate_agent,https://www.cian.ru/sale/flat/300523406/,Москва,sale,flat,3,4,2,61.6,-1,0,18500000,Тимирязевский, Вучетича,11К2,Гражданская,
76,ID 109135729,realtor,https://www.cian.ru/sale/flat/300650872/,Москва,sale,flat,3,15,2,58.54,-1,0,61000000,Пресненский,Лаки жилой квартал,,Улица 1905 года,Lucky
77,GRAND ESTATE - Премиальная недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/300558907/,Москва,sale,flat,9,9,2,50.0,-1,0,30000000,Хамовники,3-я Фрунзенская ,17,Спортивная,
78,Евгений Подгорнов,realtor,https://www.cian.ru/sale/flat/301341551/,Москва,sale,flat,3,14,2,60.0,-1,0,14500000,Марьино,Белореченская ,37К2,Люблино,
79,Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/297313098/,Москва,sale,flat,3,21,2,56.6,-1,0,58298000,Пресненский,2-я Звенигородская ,16,Улица 1905 года,Lucky
80,Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/301520906/,Москва,sale,flat,18,79,2,71.8,-1,0,53000000,Пресненский,1-й Красногвардейский проезд,22с2,Москва-Сити,NEVA TOWERS
81,Самолет Плюс Москва,real_estate_agent,https://www.cian.ru/sale/flat/300681382/,Москва,sale,flat,8,12,2,51.7,-1,0,10350000,Силино,Зеленоград,к1106,Зеленоград — Крюково,
82,Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/287929947/,Москва,sale,flat,7,22,2,75.0,-1,0,40000000,Раменки,Минская ,1ГК1,Ломоносовский проспект,Золотые Ключи 2
83,Навигатор недвижимости,real_estate_agent,https://www.cian.ru/sale/flat/297124945/,Москва,sale,flat,11,12,2,46.9,-1,0,13200000,Зябликово, Мусы Джалиля,15К1,Шипиловская,
84,Анна Озерецковская,realtor,https://www.cian.ru/sale/flat/301406228/,Москва,sale,flat,9,9,2,44.7,-1,0,13990000,Вешняки, Красный Казанец,1К2,Вешняки,
85,Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/299509244/,Москва,sale,flat,9,41,2,64.2,-1,0,41500000,Хорошево-Мневники,Шелепихинская набережная,34к6,Шелепиха,Сердце Столицы
86,Unique,real_estate_agent,https://www.cian.ru/sale/flat/296203976/,Москва,sale,flat,6,9,2,60.0,-1,0,19200000,, Ясеневая,1к1,Ольховая,Дубровка
87,Владис,real_estate_agent,https://www.cian.ru/sale/flat/301792389/,Москва,sale,flat,5,5,2,44.3,-1,0,14500000,Савеловский,Башиловская ,25,Дмитровская,
88,Алина Валиуллина,realtor,https://www.cian.ru/sale/flat/301402968/,Москва,sale,flat,5,12,2,52.0,-1,0,31950000,Мещанский,переулок Васнецова,3,Цветной бульвар,
89,Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/300061949/,Москва,sale,flat,8,9,2,55.7,-1,0,40000000,Тверской,1-я Тверская-Ямская ,28,Белорусская,
90,BERI,real_estate_agent,https://www.cian.ru/sale/flat/296783125/,Москва,sale,flat,4,5,2,42.8,-1,0,11990000,Новогиреево,Мартеновская ,16/36,Новогиреево,
91,Виктория Цибина,realtor,https://www.cian.ru/sale/flat/301152856/,Москва,sale,flat,16,22,2,55.4,-1,0,21500000,Хорошевский,1-я Магистральная ,25,Хорошёвская,Сити-комплекс Мята
92,ID 107328710,realtor,https://www.cian.ru/sale/flat/296723055/,Москва,sale,flat,9,9,2,49.0,-1,0,37000000,Арбат,Смоленская ,10,Смоленская,
93,Татьяна Серебрякова,realtor,https://www.cian.ru/sale/flat/293054575/,Москва,sale,flat,3,5,2,40.0,-1,0,7499999,Даниловский,Автозаводская ,23К7,ЗИЛ,Галерея ЗИЛ
94,Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/301778912/,Москва,sale,flat,5,18,2,85.0,-1,0,54500000,Раменки,Мосфильмовская ,88к2с6,Матвеевская,Мосфильмовский
95,GRAND ESTATE - Премиальная недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/300539841/,Москва,sale,flat,2,15,2,74.0,-1,0,39000000,Аэропорт,Ленинградский проспект,36с39,Динамо,ВТБ Арена парк
96,Олег Талалай,realtor,https://www.cian.ru/sale/flat/300994472/,Москва,sale,flat,2,4,2,58.2,-1,0,49590000,Тверской,Малый Гнездниковский переулок,10,Тверская,
97,Whitewill Москва-Сити,real_estate_agent,https://www.cian.ru/sale/flat/297875183/,Москва,sale,flat,10,79,2,62.0,-1,0,53500000,Пресненский,1-й Красногвардейский проезд,22с2,Москва-Сити,NEVA TOWERS
98,TimeProperty,real_estate_agent,https://www.cian.ru/sale/flat/292945866/,Москва,sale,flat,5,15,2,57.4,-1,0,33000000,Якиманка, Шаболовка,23к2,Шаболовская,Созвездие Капитал-1
99,Семен Гилеб,realtor,https://www.cian.ru/sale/flat/299674948/,Москва,sale,flat,7,13,2,64.2,-1,0,25000000,Академический,Новочеремушкинская ,27,Академическая,"Новочерёмушкинская, 27"
100,NF Group - ex-Knight Frank,real_estate_agent,https://www.cian.ru/sale/flat/300194618/,Москва,sale,flat,3,21,2,56.6,-1,0,58300000,Пресненский,2-я Звенигородская ,16,Улица 1905 года,Lucky
101,BARNES International Realty,real_estate_agent,https://www.cian.ru/sale/flat/301038611/,Москва,sale,flat,5,13,2,78.0,-1,0,99000000,Хамовники,Погодинская ,2,Киевская,GRAND DELUXE на Плющихе
102,Leto Estate,real_estate_agent,https://www.cian.ru/sale/flat/299110435/,Москва,sale,flat,9,9,2,47.7,-1,0,14500000,Восточное Измайлово,11-я Парковая ,9/35,Первомайская,
103,ЛюксДом,real_estate_agent,https://www.cian.ru/sale/flat/297894351/,Москва,sale,flat,6,7,2,95.0,-1,0,130000000,Хамовники, Льва Толстого,23к1,Парк Культуры,Литератор
104,Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/301520504/,Москва,sale,flat,2,21,2,116.0,-1,0,142000000,Пресненский, Костикова,4к3,Улица 1905 года,Lucky
105,Александр Киреев,realtor,https://www.cian.ru/sale/flat/300139258/,Москва,sale,flat,1,8,2,60.0,-1,0,18570000,Гагаринский,Молодежная ,3,Университет,
106,Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/294965189/,Москва,sale,flat,13,21,2,70.0,-1,0,44000000,Филевский парк,Береговой проезд,5С1,Фили,Фили Град
107,Whitewill Москва-Сити,real_estate_agent,https://www.cian.ru/sale/flat/294457758/,Москва,sale,flat,43,73,2,123.0,-1,0,149000000,Пресненский,1-й Красногвардейский проезд,22,Деловой центр,NEVA TOWERS
108,ОГРК,real_estate_agent,https://www.cian.ru/sale/flat/298139494/,Москва,sale,flat,3,4,2,44.5,-1,0,11000000,Останкинский,проезд Ольминского,7,Алексеевская,
109,Intermark Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/300818414/,Москва,sale,flat,8,9,2,55.7,-1,0,40000000,Тверской,1-я Тверская-Ямская ,28,Белорусская,
110,САДОВЫЕ КВАРТАЛЫ,real_estate_agent,https://www.cian.ru/sale/flat/301734839/,Москва,sale,flat,9,15,2,97.25,-1,0,125740000,Хамовники, Усачева,15,Спортивная,Садовые кварталы
111,Мария Балакина,realtor,https://www.cian.ru/sale/flat/301454091/,Москва,sale,flat,9,9,2,45.0,-1,0,16800000,Нагатинский затон,Судостроительная ,23К2,Коломенская,
112,Центр Недвижимости Татьяны Анисимовой,real_estate_agent,https://www.cian.ru/sale/flat/300146578/,Москва,sale,flat,8,12,2,46.8,-1,0,13500000,Котловка,Нагорная ,25К2,Нагорная,
113,Novel Estates,real_estate_agent,https://www.cian.ru/sale/flat/301247847/,Москва,sale,flat,15,77,2,98.0,-1,0,90000000,Пресненский,1-й Красногвардейский проезд,22с1,Москва-Сити,NEVA TOWERS
114,ЕГСН Продажа,real_estate_agent,https://www.cian.ru/sale/flat/300592454/,Москва,sale,flat,1,9,2,56.6,-1,0,11200000,, Усадебный Парк,3,Филатов Луг,Середневский лес
115,CENTURY 21 Столичная недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/301355128/,Москва,sale,flat,4,19,2,43.5,-1,0,23824000,Хорошево-Мневники,проспект Маршала Жукова,39Ак2,Народное Ополчение,Wellton park
116,EXCLUSIVE CITY,real_estate_agent,https://www.cian.ru/sale/flat/298381402/,Москва,sale,flat,8,21,2,51.0,-1,0,45000000,Пресненский,набережная Пресненская,10с2,Деловой центр,МФК IQ-квартал
117,Никита Гаврилов,realtor,https://www.cian.ru/sale/flat/300346058/,Москва,sale,flat,15,16,2,55.0,-1,0,17690000,Чертаново Центральное,Варшавское шоссе,142К1,Пражская,
118,ЛюксДом,real_estate_agent,https://www.cian.ru/sale/flat/301628710/,Москва,sale,flat,2,5,2,75.1,-1,0,84500000,Замоскворечье,Большой Ордынский переулок,4С4,Третьяковская,Собрание клубных домов ORDYNKA
119,Century 21 Street Realty,real_estate_agent,https://www.cian.ru/sale/flat/299151784/,Москва,sale,flat,28,58,2,52.0,-1,0,33200000,Хорошево-Мневники, Народного Ополчения,15К1,Народное Ополчение,Wellton Towers
120,ID 102005365,homeowner,https://www.cian.ru/sale/flat/298676131/,Москва,sale,flat,22,24,2,58.0,-1,0,22000000,Хорошево-Мневники, Народного Ополчения,11,Народное Ополчение,Wellton park
121,Whitewill Москва-Сити,real_estate_agent,https://www.cian.ru/sale/flat/283627992/,Москва,sale,flat,54,67,2,82.0,-1,0,75000000,Пресненский,1-й Красногвардейский проезд,22с2,Москва-Сити,NEVA TOWERS
122,Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/301012395/,Москва,sale,flat,3,7,2,91.2,-1,0,90000000,Басманный,Гороховский переулок,12с5,Курская,Гороховский 12
123,ID 96167522,realtor,https://www.cian.ru/sale/flat/290537372/,Москва,sale,flat,3,9,2,48.7,-1,0,10200000,Люблино, Верхние Поля,27С2,Братиславская,
124,CITYZEN,real_estate_agent,https://www.cian.ru/sale/flat/301499961/,Москва,sale,flat,26,85,2,92.0,-1,0,50000000,Пресненский,1-й Красногвардейский проезд,21с2,Деловой центр,МФК ОКО
125,Космополис,real_estate_agent,https://www.cian.ru/sale/flat/301250114/,Москва,sale,flat,5,5,2,44.9,-1,0,19990000,Басманный,Сыромятнический проезд,7/14,Чкаловская,
126,Наталья Шлыкова,realtor,https://www.cian.ru/sale/flat/301845171/,Москва,sale,flat,4,17,2,56.0,-1,0,16800000,Коптево,проезд Черепановых,38к1,Коптево,
127,ALVO Group,real_estate_agent,https://www.cian.ru/sale/flat/292414471/,Москва,sale,flat,3,20,2,64.0,-1,0,38000000,Беговой,Бумажный проезд,4,Белорусская,Клубный дом SOHO+NOHO
128,Времена года,real_estate_agent,https://www.cian.ru/sale/flat/301680551/,Москва,sale,flat,2,15,2,97.26,-1,0,170000000,Хамовники, Усачева,15,Спортивная,Садовые кварталы
129,ОГРК,real_estate_agent,https://www.cian.ru/sale/flat/300475447/,Москва,sale,flat,5,9,2,47.0,-1,0,9500000,Савёлки,Зеленоград,к360,Зеленоград — Крюково,
130,ID 217145,realtor,https://www.cian.ru/sale/flat/300789381/,Москва,sale,flat,10,12,2,64.5,-1,0,20990000,Соколиная гора,Щербаковская ,16,Семёновская,
131,NF Group - ex-Knight Frank,real_estate_agent,https://www.cian.ru/sale/flat/297550308/,Москва,sale,flat,5,12,2,76.1,-1,0,70000000,Пресненский,Большой Палашевский переулок,3,Пушкинская,
132,Homeapp,real_estate_agent,https://www.cian.ru/sale/flat/300074472/,Москва,sale,flat,6,23,2,55.7,-1,0,11500000,Ярославский,Ярославское шоссе,124,Медведково,
133,Времена года,real_estate_agent,https://www.cian.ru/sale/flat/301680521/,Москва,sale,flat,10,14,2,44.0,-1,0,33499000,Раменки,проспект Генерала Дорохова,39к1Б,Минская,Собрание клубных домов West Garden
134,ALFA real estate,real_estate_agent,https://www.cian.ru/sale/flat/300964449/,Москва,sale,flat,20,22,2,38.4,-1,0,14999000,Южное Тушино,бульвар Яна Райниса,45К2,Сходненская,
135,Анна Озерецковская,realtor,https://www.cian.ru/sale/flat/300740040/,Москва,sale,flat,9,9,2,37.1,-1,0,16300000,Раменки,Мосфильмовская ,22,Поклонная,
136,ЕГСН Продажа,real_estate_agent,https://www.cian.ru/sale/flat/285616997/,Москва,sale,flat,4,8,2,43.0,-1,0,15750000,Хорошевский, Куусинена,4Ак1,Полежаевская,
137,ЕГСН Продажа,real_estate_agent,https://www.cian.ru/sale/flat/300313132/,Москва,sale,flat,9,10,2,53.0,-1,0,13850000,Перово, Плющева,15К1,Перово,
138,АБ Риэлти,real_estate_agent,https://www.cian.ru/sale/flat/298841043/,Москва,sale,flat,11,17,2,46.6,-1,0,14900000,,бульвар Скандинавский,19,Бульвар Адмирала Ушакова,Скандинавия
