,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,price,district,street,house_number,underground,residential_complex
94,Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/295295279/,Москва,sale,flat,7,16,3,121.0,-1,0,103000000,Хамовники,Ружейный переулок,3,Смоленская,Смоленская Застава
95,BERI,real_estate_agent,https://www.cian.ru/sale/flat/297066005/,Москва,sale,flat,6,8,3,57.4,-1,0,31990000,Хамовники,Зубовский бульвар,16-20С1,Парк Культуры,
96,BARNES International Realty,real_estate_agent,https://www.cian.ru/sale/flat/301344783/,Москва,sale,flat,3,9,3,110.5,-1,0,97500000,Тверской, Фадеева,4А,Новослободская,Итальянский Квартал
97,NF Group - ex-Knight Frank,real_estate_agent,https://www.cian.ru/sale/flat/297042900/,Москва,sale,flat,3,10,3,173.6,-1,0,165000000,Тверской,Большая Грузинская ,69,Белорусская,Четыре Ветра
98,Dream Realty,real_estate_agent,https://www.cian.ru/sale/flat/300593977/,Москва,sale,flat,6,20,3,75.8,-1,0,28000000,Нагатинский затон,Нагатинская набережная,44к1,Коломенская,
99,Ramenky Realty,real_estate_agent,https://www.cian.ru/sale/flat/301734718/,Москва,sale,flat,5,21,3,137.0,-1,0,140000000,Пресненский,Лаки жилой квартал,,Улица 1905 года,Lucky
100,Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/247174958/,Москва,sale,flat,8,53,3,150.0,-1,0,135000000,Раменки,Мосфильмовская ,8,Ломоносовский проспект,Дом на Мосфильмовской
101,Юлия Мамаева,realtor,https://www.cian.ru/sale/flat/300318757/,Москва,sale,flat,7,9,3,58.0,-1,0,15500000,Чертаново Южное,Россошанская ,11К3,Улица Академика Янгеля,
102,Максим Смирнов,realtor,https://www.cian.ru/sale/flat/301807103/,Москва,sale,flat,10,14,3,70.0,-1,0,40000000,Раменки,проспект Генерала Дорохова,39к1Б,Минская,Собрание клубных домов West Garden
103,NF Group - ex-Knight Frank,real_estate_agent,https://www.cian.ru/sale/flat/299249837/,Москва,sale,flat,7,7,3,145.2,-1,0,230000000,Якиманка, Большая Полянка,44,Полянка,Полянка/44
104,Анастасия Дегтярева,realtor,https://www.cian.ru/sale/flat/301294321/,Москва,sale,flat,7,9,3,60.0,-1,0,22800000,Кунцево,Молодогвардейская ,1К1,Кунцевская,
105,GRAND ESTATE - Премиальная недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/300539712/,Москва,sale,flat,2,7,3,90.0,-1,0,80000000,Пресненский,Большой Козихинский переулок,19/6,Пушкинская,
106,ID 413522,realtor,https://www.cian.ru/sale/flat/301734998/,Москва,sale,flat,10,13,3,150.7,-1,0,169490000,Хамовники, Усачева,11Б,Спортивная,Садовые кварталы
107,Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/301110099/,Москва,sale,flat,1,9,3,60.0,-1,0,10500000,Ярославский,Холмогорская ,7,Медведково,
108,САДОВЫЕ КВАРТАЛЫ,real_estate_agent,https://www.cian.ru/sale/flat/301734849/,Москва,sale,flat,3,15,3,99.9,-1,0,159990000,Хамовники, Усачева,15,Спортивная,Садовые кварталы
109,TimeProperty,real_estate_agent,https://www.cian.ru/sale/flat/299754349/,Москва,sale,flat,5,5,3,193.0,-1,0,170000000,Замоскворечье,Садовническая ,18,Новокузнецкая,
110,ОГРК,real_estate_agent,https://www.cian.ru/sale/flat/299103415/,Москва,sale,flat,9,9,3,56.0,-1,0,12300000,Ивановское, Молостовых,6К4,Новогиреево,
111,NF Group - ex-Knight Frank,real_estate_agent,https://www.cian.ru/sale/flat/288895889/,Москва,sale,flat,2,19,3,99.0,-1,0,57000000,Хорошево-Мневники,Шелепихинская набережная,34к2зд2,Шелепиха,Сердце Столицы
112,Contact Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/300556446/,Москва,sale,flat,9,20,3,96.0,-1,0,115000000,Пресненский,2-я Звенигородская ,14,Улица 1905 года,Lucky
